danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,label
0.831,0.532,4,-7.047,0,0.338,0.245,0.000131,0.314,0.517,130.0,539wfGOsGcRmT1IBVUfiJV,4,saved
0.625,0.667,1,-5.875,1,0.131,0.754,0.954,0.135,0.0805,80.046,1yCVsVH2hQ72SxNI8QTDaB,4,saved
0.615,0.549,2,-7.34,1,0.112,0.00954,0.000101,0.109,0.123,144.099,3eqfEoBJPQDlUZQzOP0cly,4,saved
0.754,0.449,7,-9.212,1,0.108,0.0329,7.84e-05,0.55,0.35,77.167,2VWbHHhWnMzKWPUs4IEEW9,4,saved
0.876,0.375,4,-9.341,1,0.259,0.478,0.0,0.106,0.325,113.909,7hV7333ajQNI1J6R5C9A8c,4,saved
0.673,0.503,0,-6.67,1,0.169,0.411,0.0,0.319,0.328,91.011,2SPqhlmGmYCM4oU4HGCnsx,4,saved
0.271,0.948,1,-2.207,1,0.263,0.0467,0.0,0.163,0.515,83.19,0wdV94AXGRphrbkDWLNzVC,4,saved
0.747,0.492,11,-8.399,0,0.11,0.271,1.11e-05,0.263,0.189,124.87,79NvkJSx6wqLc9xgUs1qaJ,4,saved
0.657,0.497,1,-7.689,1,0.112,0.254,0.0,0.367,0.594,106.049,2gq9iG0maBxkuZI7yfGJuv,4,saved
0.767,0.529,5,-4.421,0,0.0495,0.0595,0.0,0.089,0.247,138.076,6urLjX35oXXRYtcH1b3dCh,4,saved
0.745,0.804,4,-4.381,1,0.0713,0.00205,2.41e-06,0.157,0.454,102.048,2qg9LM2wkJpSejzZkbZIDg,4,saved
0.614,0.742,11,-4.625,0,0.0266,0.163,0.000142,0.155,0.0768,129.978,19ek2TMXTpXhjn7xkdNAAJ,4,saved
0.793,0.412,2,-9.305,1,0.364,0.443,7.43e-05,0.219,0.307,135.937,1AqemxWsT0iGg5Lvkm16Bt,4,saved
0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,3GZD6HmiNUhxXYf8Gch723,4,saved
0.492,0.628,3,-5.032,1,0.0302,0.562,1.53e-06,0.0954,0.211,111.718,5Gn6UwbHRq8VurLB1EFlAa,1,saved
0.704,0.918,10,-3.907,0,0.096,0.136,0.000603,0.277,0.799,96.01,3Iam1vICZ4JiOcuELGLseM,4,saved
0.557,0.849,7,-5.559,1,0.316,0.116,0.0,0.0855,0.674,76.939,7q6jrSUpdukGfRueBs0vNV,4,saved
0.874,0.703,5,-6.017,0,0.0685,0.0455,0.0,0.166,0.344,143.039,2664gDzsUz6oHnSFyfKjcq,4,saved
0.696,0.521,10,-8.465,0,0.332,0.302,0.0,0.0565,0.458,100.0,62vpWI1CHwFy7tMIcSStl8,4,saved
0.67,0.57,9,-6.723,1,0.114,0.0177,2.24e-05,0.0555,0.44,176.029,0fQH3I3GoZS1J8m5go7lb8,4,saved
0.554,0.696,9,-7.664,1,0.0335,0.0237,4.51e-05,0.505,0.446,138.051,4yzaniwZb01bp0gT5BYwBv,4,saved
0.465,0.267,0,-14.264,1,0.0315,0.734,0.678,0.205,0.0757,132.002,4W3LpDT8Z1DrlzOrLUkoo4,4,saved
0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,37zuIvk4KBkAxxLJsxJaHq,4,saved
0.516,0.46,5,-11.782,1,0.0368,0.798,2.68e-05,0.112,0.5,107.643,0InjCndAleLu6OMOQXUzaq,4,saved
0.594,0.858,9,-4.339,1,0.0387,0.00059,3.11e-06,0.0642,0.663,138.021,3JxaZPq4UjkOaxnpyMUtAC,4,saved
0.568,0.879,7,-3.965,1,0.421,0.272,0.0,0.192,0.24,152.118,06P0q7wYr1S1fqrkewX03G,4,saved
0.691,0.64,0,-6.441,1,0.369,0.511,0.0,0.409,0.163,138.672,6MF4tRr5lU8qok8IKaFOBE,4,saved
0.537,0.945,6,-4.207,0,0.0344,0.0023,0.0,0.332,0.778,103.158,1HHtSMol96RMWpopGzFi0V,4,saved
0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,1huvTbEYtgltjQRXzrNKGi,4,saved
0.657,0.405,0,-8.637,0,0.0584,0.525,0.072,0.146,0.0673,133.895,7IpDQcksaT8SxS7vOX4SRm,4,saved
0.781,0.836,6,-5.496,0,0.0658,0.379,0.0,0.289,0.636,94.989,1IbGB3FLPDJjBX5i3S57rA,4,saved
0.323,0.806,7,-6.554,0,0.0769,0.0314,1.11e-05,0.181,0.548,124.615,5LjJ1qX05RM0fsNDNvAu7f,4,saved
0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,3BsaRV5QIulYz2lV9WWa8T,4,saved
0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,2z3htsNRuhDN923ITatc56,5,saved
